ID,Name,ManagerFullName,Group
1,Germany,Julian Nagelsmann,A
2,Scotland,Steve Clarke,A
3,Hungary,Marco Rossi,A
4,Switzerland,Murat Yakin,A
5,Spain,Luis de la Fuente,B
6,Croatia,Zlatko Dalić,B
7,Italy,Luciano Spalletti,B
8,Albania,Sylvinho,B
9,Slovenia,Matjaž Kek,C
10,Denmark,Kasper Hjulmand,C
11,Serbia,Dragan Stojković,C
12,England,Gareth Southgate,C
13,Poland,Michał Probierz,D
14,Netherlands,Ronald Koeman,D
15,Austria,Ralf Rangnick,D
16,France,Didier Deschamps,D
17,Belgium,Domenico Tedesco,E
18,Slovakia,Francesco Calzona,E
19,Romania,Edward Iordănescu,E
20,Ukraine,Serhiy Rebrov,E
21,Turkey,Vincenzo Montella,F
22,Georgia,Willy Sagnol,F
23,Portugal,Roberto Martínez,F
24,Czech Republic,Ivan Hašek,F
